num,clean_id,loja_nome,destino_atual,score_atual,wl,vivino_id_atual,vivino_nome_atual,llm
1,3474570,02 1,D,0,0,0,,X
2,3034035,02 patriarche heritage brut 02,A,0.485,1,102722,patriarche pere fils — heritage brut,W|Patriarche|Heritage Brut|FR|s
3,3481688,020 makis theofylaktopoulos greek 19392023 ar,C2,0,1,0,,X
4,3059497,0375 fanagoria ice wine riesling 0375 in gb,A,0.507,1,54310,fanagoria — ice wine riesling,W|Fanagoria|Ice Wine Riesling|??|d
5,1441041,1 guest 300623 2pm,D,0,0,0,,X
6,1625287,1 stk oddenmrke,D,0,0,0,,X
7,2773772,10 sweet desire with birthday balloon,D,0,0,0,,X
8,3867832,100 2019,D,0,0,0,,X
9,223181,100 days cabernet sauvignon 2023,A,0.523,4,1153523,stranger days — cabernet sauvignon,W|??|100 Days Cabernet Sauvignon|??|r
10,2356755,100 hectares grande reserva sousao tinto 2021,A,0.823,7,826775,100 hectares — sousao,W|100 Hectares|Grande Reserva Sousao Tinto|PT|r
11,2195725,100 hectares pack estrelas 3x,A,0.612,4,708253,100 hectares — filigrana,X
12,1877744,100 zena crna ovca,A,0.674,2,1586627,vinarija 100 zena — crna ovca franc cabernet franc,W|??|100 Zena Crna Ovca|??|r
13,883970,10th street distillers cut peated single malt,D,0,0,0,,S|10th Street Distillers|Cut Peated Single Malt|??|s
14,9155,116 2016,D,0,0,0,,X
15,3877551,12 2008,D,0,0,0,,X
16,2294958,12er vorteilsweinpaket mandus primitivo di manduria doc pietra pura,C2,0.285,2,0,,W|Mandus|Primitivo di Manduria DOC Pietra Pura|IT|r
17,3892588,150ssr4,D,0,0,0,,X
18,8357,1516 weihenstephaner 1516 kellerbier,D,0,0,0,,X
19,149082,16oz cocktail shaker,D,0,0,0,,X
20,1990716,1707 chardonnay barrica,B,0.258,3,0,,W|??|1707 Chardonnay Barrica|ES|w
21,3922805,170g70g,D,0,0,0,,X
22,2861161,18 inches cream hug me bear,D,0,0,0,,X
23,396962,1800 coconut silver,D,0,0,0,,S|1800|Coconut Silver|MX|s
24,2758533,18th cafe lcc perrier carbonated mineral water l46380 france,D,0,0,0,,X
25,1180388,19 crimes pinot noir punishmen,A,0.739,4,1706929,19 crimes — tho delamy pinot noir,W|19 Crimes|Pinot Noir Punishmen|AU|r
