W|rose|periquita|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|periquita|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=5
W|rose|perez cruz rose lingal|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|penisula de setubal louca do louco|pt|p|??|setubal|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|peninsula de lisboa 2020 regional lisboa|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pegos claros castelao vinhas velhas 2022 peninsula de setubal|pt|p|??|setubal|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|pedra cancela selecao do enologo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pedra cancela selecao do enologo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=11
W|rose|pays doc rosee de truffiere rose 2018|??|p|??|??|??|2018|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|paulo laureano maria teresa laureano 2019 regional alentejano|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|paul mas jardin de roses|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|paul mas claude val rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|paul mas claude val rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=16
W|rose|paul mas claude val|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|patriarche heritage|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|paskua rose blend 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pardalito|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|parajes del valle bobal dop manchuela 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|parajes del valle bobal 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|papa figos 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|papa figos 0|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|papa figos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|palhete do tareco 2022 alentejo|pt|p|??|alentejo|??|2022|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|paisajes de los andes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
S
S|=29
S|=29
W|rose|pacheco pereda sangiovese 2023|??|p|sangiovese|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pacheca colheita 2019 douro|pt|p|??|douro|??|2019|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|p de protos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|p de protos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=34
W|rose|otro loco mas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ortigao baga 2022 bairrada|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
S|=29
W|rose|organico cotes de provence chateau gassier esprit|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|organico chileno etnico|cl|p|??|valle central|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|organico adobe emiliana|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|opta dao|pt|p|??|dao|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|oniris|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|oniris|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=43
W|rose|omnia rose 2022 douro|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|olho de mocho 2022 alentejo|pt|p|??|alentejo|??|2022|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|olaria suave natural alentejo|pt|p|??|alentejo|??|NV|12.5|DO|medio|saladas, sushi, petiscos|demi-sec
W|rose|olaria suave natural|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|rose|occasione pedrucci|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|oboe superior garrafa magnum 1|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|oboe superior|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|oboe som de barrica|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|o jornaleiro|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|numbered edition soto de onatil|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nuic lets go blatina|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nucot vin de france rose 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nucot rose 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nucot rose 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nostrofruto 32 merlot 40 malbec 28 moscato giallo mato penso flores da cunha serra gaucha|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|norton sexy fish|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|niepoort redoma 2023 douro|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|nelson neves bairrada merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nederburg blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nederburg africa do sul|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nederburg|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nederburg|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=65
W|rose|naturelle suave casa valduga|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|rose|naturelle suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|rose|naturelle casa valduga 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nacional luiz argenta terroir xxvii rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nacional luiz argenta jovem seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nacional guatambu luar do pampa rose seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nacional don guerino sinais malbec seco|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nacional don giovanni pinot noir express|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|nacional almaden cabernet suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|rose|muxagat 2019 douro|pt|p|??|douro|??|2019|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|munoz artero rosado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mula velha|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mucho mas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mucho mas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=79
W|rose|mosquita muerta malbec 2018|??|p|malbec|??|??|2018|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|moscato frisante macaw tropical|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|moscato de hamburgo castellamare caixa 6|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|moscato de hamburgo castellamare|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|moscatel roxo dsf 075|??|p|moscatel|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|moscatel frisante suave dolce vita santa vita|??|p|moscatel|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|rose|morgado do quintao palhete 2023 regional algarve|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mora vista argentino|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mora vista argentino|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=88
W|rose|montinho sao miguel 2021 regional alentejano|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|montes toscanini reserva familiar tannat|??|p|tannat|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|montes cherubno pixno boletoem ate3xdesem juroscomprar|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|monte das servas escolha 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
