W|finca dofi|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=1
W|finca dofi|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=4
W|finca dofi|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=6
W|finca dofi|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=6
W|finca dofi|2021 alvaro palacios in holzkiste|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=10
W|finca dofi|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=10
W|finca dofi|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=10
W|finca dofi|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=10
W|finca dofi|2022 alvaro palacios|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=16
W|finca dofi|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=16
W|finca dofi|alvaro palacios|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|alvaro palacios 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|alvaro palacios priorat spain 2019|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|doca|??|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|doca 18|??|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|doca 19|??|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|doca 19|??|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco|=24
W|finca dofi|doca 20|??|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|doca 20|??|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco|=26
W|finca dofi|doca 21|??|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|doq|??|r|??|??|??|NV|13.5|doq|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|palacios 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|priorato doc alvaro palacios 0|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca dofi|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca don|carlos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca don|carlos calathus chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca don|gavarre blanco|??|w|??|??|??|NV|12.5|ava|leve|peixes; frutos do mar; saladas|seco
W|finca don|gavarre rosado|??|p|??|??|??|NV|12.5|ava|leve|saladas; aves; queijos leves|seco
W|finca don|gavarre tinto|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha; queijo curado; massas|seco
W|finca don|leta blend roble 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca don|leta malbec 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca dorada|seleccion especial cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca dorada|seleccion especial cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca dorada|seleccion especial cabernet sauvignon 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca dorada|seleccion especial merlot 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dorada|seleccion especial merlot 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dorada|seleccion especial merlot 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca dorada|seleccion especial sauvignon blanc 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca dorada|seleccion especial syrah 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca dorada|seleccion especial syrah 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca dorada|seleccion especial syrah 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
