1. W|cassetta|vintage tasting gaggiole|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|cassetta|vintage tasting sirio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|cassetta vuota argiolas turriga|6 bottiglie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|cassetta vuota barone pizzini bagnadore|6 bottiglie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|cassetta vuota barone pizzini bagnadore|rose 2011 3 bottiglie|??|p|??|??|??|2011|12.5|??|leve|saladas, aves, queijos leves|seco
6. W|cassetta vuota bassa berlucchi palazzo lana da|6 bottiglie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|cassetta vuota berlucchi palazzo lana da|6 bottiglie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|cassetta vuota bollinger rd|2007 6 bottiglie|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|cassetta vuota ca del bosco annamaria clementi|3 bottiglie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|cassetta vuota casisano colombaiolo brunello riserva|6 bottiglie|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
11. W|cassetta vuota contini barrile|6 bottiglie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|cassetta vuota di antinori guado al tasso da|3 bottiglie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|cassetta vuota di sassicaia da|6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|cassetta vuota gaja|12 bottiglie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|cassetta vuota gaja|3 bottiglie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
