1. W|casa ermelinda prestigious portuguese|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|casa ermelinda prestigious portuguese|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=1
3. W|casa ermelinda prestigious portuguese|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=1
4. W|casa ermelinda sand stone|castelao|pt|r|castelao|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|casa ermelinda sand stone|castelao shiraz|pt|r|shiraz, castelao|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
6. W|casa ermelinda sand stone|castelao shiraz|pt|r|shiraz, castelao|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=5
7. W|casa ermelinda sand stone|castelao shiraz|pt|r|shiraz, castelao|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=5
8. W|casa ermelinda sand stone|castelao shiraz|pt|r|shiraz, castelao|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=5
9. W|casa ermelinda sand stone|castelao shiraz 2024|pt|r|shiraz, castelao|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
10. W|casa ermelinda sand stone|shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
11. W|casa ermelinda sand stone|shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=10
12. W|casa ermelinda sand stone|shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=10
13. W|casa ermelinda sand stone|shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=10
14. W|casa ermelinda sand stone|shiraz 2023|pt|r|shiraz|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
15. W|casa ermelinda sand stone|shiraz 2023|pt|r|shiraz|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=14
16. W|casa ermelinda sandstone|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|casa ermelinda sandstone casterlao|shiraz 2024|pt|r|shiraz|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
18. W|casa ermelinda sandstone magnum|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|casa ermelinda sandstone|shiraz 2024|pt|r|shiraz|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
20. W|casa ermelinda sunshell|blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|casa ermelinda|trincadeira|pt|r|trincadeira|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|casa ermelinda|vinha da fonte touriga nac|pt|r|touriga|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
23. W|casa ermelinda|vinha da fonte touriga nacional|pt|r|touriga nacional, touriga|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
24. W|casa ermelinda|vinha da fonte touriga nacional 2021|pt|r|touriga nacional, touriga|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
25. W|casa ermelinda|vinha da fonte touriga nacional 2022|pt|r|touriga nacional, touriga|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
26. W|casa ermelinda|vinha da fonte touriga nacional 2023|pt|r|touriga nacional, touriga|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
27. W|casa ermelinda|vinho branco espumante brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
28. W|casa ermelinda|vinho branco espumante bruto|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
29. W|casa ermelinda|vinho branco espumante bruto|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=28
30. W|casa ermelindos freitas fat baron|shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
31. W|casa ermita|petit verdot|pt|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|casa eva|blanc de noir brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
33. W|casa eva|cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
34. W|casa eva casa eva|marselan|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|casa eva|chardonnay colecao persona 2024|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
36. W|casa eva colecao personas a visionaria|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
