W|grand|cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|grand|cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|grand|cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|grand|cru|??|r|??|??|??|2007|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru|??|r|??|??|??|2008|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru|??|r|??|??|??|2012|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru 35|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru 30|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru 15|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru 30|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru 30|??|r|??|??|??|2023|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru 30|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru 6 wines|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru alsace riesling|fr|w|riesling|??|??|2022|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
