1. W|casteddu|rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|casteggio clefi|riesling renano doc|??|w|riesling|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
3. W|casteggio oltrepo pavese bonarda|doc 1998|ar|r|??|??|??|1998|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
4. W|casteggio|pinot grigio doc|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
5. W|casteggio|pinot nero doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
6. W|casteggio|riesling doc|??|w|riesling|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
7. W|casteja millesime|1929 40o|??|r|??|??|??|1929|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|casteja millesime|1934 40o|??|r|??|??|??|1934|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. S
10. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|castel bolovanu|2011 cabernet sauvignon vinarte|??|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
12. W|castel bolovanu|2012 cabernet sauvignon vinarte|??|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
13. W|castel bolovanu|2013 cabernet sauvignon vinarte|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
14. W|castel bolovanu|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
15. W|castel bolovanu|cabernet sauvignon crama vinarte sgr|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
16. W|castel bolovanu|feteasca neagra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|castel bolovanu|feteasca neagra crama vinarte sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|castel bolovanu|novac|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|castel bolovanu novac crama vinarte|sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|castel bolovanu|riesling|??|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
21. W|castel bolovanu|riesling crama vinarte sgr|??|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
22. W|castel bolovanu roze crama vinarte|sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|castel bolovanu|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
24. W|castel bolovanu|sauvignon blanc crama vinarte sgr|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
25. W|castel bolovanu tamaioasa|romaneasca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|castel bolovanu tamaioasa romaneasca crama vinarte|sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|castel|bordeaux|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|castel bordeaux|750 mlt 135|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
