W|gruner veltliner|schieferstein|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruner veltliner|smaragd muhlpoint alzinger|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruner veltliner|steinfeder|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruner veltliner|steinfeder|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
W|gruner|veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=5
