W|landparty|rot rotwein bio halbtrocken deutschland|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landparty|rot rotwein bio halbtrocken deutschland|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=1
W|landparty|rot rotwein bio halbtrocken deutschland|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=1
W|landparty|rot rotwein bio halbtrocken deutschland|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=1
W|landparty|rose rosewein bio halbtrocken deutschland|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|landparty|rose rosewein bio halbtrocken deutschland|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=5
W|landparty|rose rosewein bio halbtrocken deutschland|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=5
W|landparty|alkoholfrei rot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landpartie|gluhwein|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landot|haut medoc chateau caronne ste gemme|fr|r|??|medoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landonnet|bordeaux superieur|fr|r|??|bordeaux|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landon|yellow rose texas|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|landon|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landon|heel sandals tan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landon|heel sandals black|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lando wines|pinot noir phoenix blend|??|r|pinot noir|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lando wines|sonoma coast pinot noir|us|r|pinot noir|sonoma|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lando wines|sonoma coast pinot noir|us|r|pinot noir|sonoma|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=17
W|lando wines|russian river valley pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lando wines|sonoma coast pinot noir|us|r|pinot noir|sonoma|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lando wines|sonoma coast pinot noir|us|r|pinot noir|sonoma|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lando|tintoen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lando|tintode|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lando|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lando|pinot noir sonoma coast|us|r|pinot noir|sonoma|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lando|blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lando|blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=26
W|landmass wines|petillant naturel blanc de blancs columbia gorge ru ok|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmass|sparkling rose of tempranillo aeolus vyd eolaamity hills willamette valley oregon usa|us|s|tempranillo|oregon|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|landmass|multitudes white blend|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmass|gruner veltliner columbia gorge|??|w|gruner veltliner|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
