source_wine_id,canonical_wine_id,lane,confidence,review_state,recommended_action,score,gap,source_stratum,source_nome,source_produtor,source_safra,source_tipo,canonical_nome,canonical_produtor,canonical_safra,canonical_tipo,channels,evidence_reason,source_wine_sources_count,source_stores_count,y2_status_set,y2_match_score_max,y2_any_not_wine_or_spirit,qa_required,qa_sample_rate,qa_verdict,qa_notes,reviewer
2134163,91558,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6583,0.6583,S2_NO_SOURCE,"Giovanna Chessa, Vermentino di Sardegna “Mattariga”","Giovanna Chessa, Vermentino",,branco,mattariga vermentino di sardegna bianco,chessa,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
2178222,453,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6233,0.6233,S3_NO_LINEAGE_OR_ORPHAN,Hacienda Monasterio Tinto Cosecha DO,hacienda monasterio tinto,,tinto,cosecha,hacienda monasterio,,tinto,token_index,strong_name_and_producer_overlap,1,1,,,0,1,0.05,,,
2126284,498042,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6233,0.6233,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,GGV 1986 Goyo Garcia Viadero,GGV Goyo Garcia,1986,tinto,garcia semova,goyo garcia viadero,,tinto,token_index,strong_name_and_producer_overlap,1,1,duplicate|new,,0,1,0.05,,,
2127227,443535,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6333,0.6333,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Ghemme Francoli 1964,Ghemme Francoli,1964,tinto,ghemme,cantine flli francoli,,tinto,token_index,strong_name_and_producer_overlap,1,1,duplicate|new,,0,1,0.05,,,
2127609,1132197,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8200,0.1300,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Giacomo Conterno Barolo Arione 2017,Giacomo Conterno,2017,tinto,barolo arione,giacomo conterno,,tinto,token_index,strong_name_and_producer_overlap,3,3,duplicate|new,,0,1,0.05,,,
2128915,774937,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.9500,0.9500,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Giacomo Fenocchio Barolo Castellero,Giacomo Fenocchio,,tinto,barolo castellero,giacomo fenocchio,,tinto,token_index,strong_name_and_producer_overlap,13,10,duplicate|new,,0,1,0.05,,,
2149501,279420,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6900,0.6900,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,"Gómez Cruzado, Rioja Reserva 2014","Gómez Cruzado,",2014,tinto,reserva,gomez cruzado,,tinto,token_index|y2_0.800,y2_plus_text_evidence,1,1,matched|new,0.8,0,1,0.05,,,
2162281,529955,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7750,0.1083,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,GRÓF BUTTLER Egri Kadarka Superior 2016,GRÓF BUTTLER Egri,2016,tinto,egri kadarka superior,grof buttler,,tinto,token_index,strong_name_token_overlap>=2,1,1,duplicate|new,,0,1,0.05,,,
2178083,1404503,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.9500,0.9500,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Hacienda Lopez De Haro,Hacienda Lopez,,tinto,organic tempranillo,hacienda lopez de haro,,tinto,token_index|y2_0.800,y2_plus_text_evidence,2,2,matched|new,0.8,0,1,0.05,,,
2178150,590961,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.9500,0.9500,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Hacienda López De Haro Rosado,Hacienda López,,rose,rosado,hacienda lopez de haro,,rose,token_index|y2_1.300,y2_plus_text_evidence,6,6,duplicate|matched|new,1.3,0,1,0.05,,,
