source_wine_id,canonical_wine_id,lane,confidence,review_state,recommended_action,score,gap,source_stratum,source_nome,source_produtor,source_safra,source_tipo,canonical_nome,canonical_produtor,canonical_safra,canonical_tipo,channels,evidence_reason,source_wine_sources_count,source_stores_count,y2_status_set,y2_match_score_max,y2_any_not_wine_or_spirit,qa_required,qa_sample_rate,qa_verdict,qa_notes,reviewer
1907650,250179,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8187,0.1312,S2_NO_SOURCE,"2022 Château Sainte Anne, Côtes de Provence Rouge","Château Sainte Anne, Côtes",2022,tinto,cotes de provence rouge,chateau de la tour sainte anne,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,,,
1913030,403945,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5278,0.5278,S2_NO_SOURCE,"2022 Vins Gigou Pineau d'Aunis ""L'Ancêtre"", Coteaux du Loir",Vins Gigou Pineau,2022,tinto,coteaux du loir pineau daunis,domaine gigou,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
1933554,134708,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7750,0.7750,S2_NO_SOURCE,Pra Soave Classico 'Monte Grande',Pra Soave,2020,branco,monte grande soave classico,pra,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
1919162,229527,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7750,0.2167,S3_NO_LINEAGE_OR_ORPHAN,2024 Saint Clair Origin Pinot Noir,2024 saint clair,2024,tinto,origin pinot noir,saint clair family estate,,tinto,token_index,strong_name_token_overlap>=2,8,8,,,0,1,0.05,,,
1908787,627240,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7200,0.7200,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Vieux Chateau Certan Pomerol 2016,Vieux Chateau Certan,2016,,la gravette de certan pomerol,vieux chateau certan,,tinto,token_index,strong_name_and_producer_overlap,2,2,duplicate|new,,0,1,0.05,,,
1928955,70884,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5200,0.5200,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,2020 Barolo Pittatore Bric Cenciurio,,2020,tinto,barolo pittatore,bric cenciurio,,tinto,token_index,name_and_source_to_canonical_producer,1,1,matched|new,0.3,0,1,0.05,,,
1938026,1482307,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6375,0.6375,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Raza Vinho Verde 2024,Raza,2024,branco,vicinus vinho verde,quinta da raza,,Branco,token_index,strong_name_and_producer_overlap,1,1,matched|new,0.5,0,1,0.05,,,
1897452,419524,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5200,0.5200,S5_SOURCE_RICH_STRUCTURED,Vino di Anna Palmento Rosso,,,tinto,palmento,vino di anna,,tinto,token_index,name_and_source_to_canonical_producer,3,3,new,,0,1,0.05,,,
1898407,841762,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7500,0.7500,S5_SOURCE_RICH_STRUCTURED,Vinkara Minoj,Vinkara Minoj,,,minoj kalecik karas rose,vinkara winery,,rose,token_index,strong_name_and_producer_overlap,8,8,new,,0,1,0.05,,,
1899384,88193,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6500,0.6500,S5_SOURCE_RICH_STRUCTURED,Vinho Verde Calamares Branco,,,branco,vinho verde branco,calamares,,branco,token_index,name_and_source_to_canonical_producer,4,4,new,,0,1,0.05,,,
